Ano do BO (RDO);Data do Acidente;Tipo do veiculo da vitima;Tipo de vitima;Tipo de acidente;Sexo;Idade da vitima
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;57
2023;18/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;37
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;22
2023;19/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;24
2023;19/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;MASCULINO;NAO DISPONIVEL
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;27
2023;19/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;FEMININO;19
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;60
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;27
2023;19/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;19
2023;19/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;35
2023;19/02/2023;BICICLETA;CONDUTOR;COLISAO;FEMININO;52
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;19
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;63
2023;19/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;39
2023;18/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;21
2023;18/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;35
2023;18/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;24
2023;18/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;19
2023;18/02/2023;PEDESTRE;PEDESTRE;OUTROS;MASCULINO;34
2023;18/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;COLISAO;MASCULINO;14
2023;18/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;NAO DISPONIVEL
2023;17/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;43
2023;18/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;FEMININO;46
2023;18/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;70
2023;18/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;31
2023;18/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;28
2023;18/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;18/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;19
2023;06/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;FEMININO;80
2023;17/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;45
2023;17/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;17
2023;03/01/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;37
2023;17/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;42
2023;17/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;56
2023;17/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;57
2022;31/12/2022;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;17
2023;17/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;36
2023;17/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;MASCULINO;72
2022;28/09/2022;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;72
2023;17/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;51
2023;17/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;80
2023;17/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;81
2023;17/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;56
2023;17/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;46
2023;17/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;38
2023;15/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;43
2023;16/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;43
2023;10/02/2023;AUTOMOVEL;PASSAGEIRO;ATROPELAMENTO;MASCULINO;88
2023;16/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;19
2023;16/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;33
2023;16/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;16/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;71
2023;16/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;40
2023;16/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;MASCULINO;0
2023;16/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;16/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;58
2023;16/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;56
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;59
2023;15/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;NAO DISPONIVEL
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;54
2023;03/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;88
2023;15/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;31
2023;15/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;35
2023;15/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;49
2023;15/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;56
2023;15/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;FEMININO;77
2023;15/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;24
2023;15/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;75
2023;10/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;50
2023;15/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;61
2023;14/02/2023;BICICLETA;CONDUTOR;OUTROS;MASCULINO;28
2023;14/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;FEMININO;40
2023;08/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;32
2023;14/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;22
2023;14/02/2023;CAMINHAO;CONDUTOR;CHOQUE;MASCULINO;64
2023;12/11/2022;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;65
2023;14/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;FEMININO;54
2023;14/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;14/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;14/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;51
2023;10/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;49
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;51
2023;13/02/2023;CAMINHAO;CONDUTOR;CHOQUE;MASCULINO;NAO DISPONIVEL
2022;11/12/2022;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;36
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;10
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;72
2023;29/01/2023;MOTOCICLETA;PASSAGEIRO;OUTROS;FEMININO;64
2023;13/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;13/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;26
2023;09/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;56
2023;04/12/2022;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;74
2023;12/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;31
2023;12/02/2023;MOTOCICLETA;PASSAGEIRO;COLISAO;FEMININO;23
2023;12/02/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;FEMININO;NAO DISPONIVEL
2023;12/02/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;FEMININO;27
2023;12/02/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;MASCULINO;16
2023;12/02/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;FEMININO;38
2023;12/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;43
2023;12/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;63
2023;11/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;58
2023;12/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;37
2023;08/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;12/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;23
2023;11/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;FEMININO;25
2023;12/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;35
2023;12/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;41
2023;12/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;24
2023;12/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;42
2023;12/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;34
2023;12/02/2023;MOTOCICLETA;CONDUTOR;ATROPELAMENTO;MASCULINO;24
2023;12/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;56
2023;12/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;43
2023;12/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;27
2023;12/02/2023;MOTOCICLETA;PASSAGEIRO;CHOQUE;FEMININO;43
2023;11/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;47
2023;11/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;MASCULINO;31
2023;10/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;25
2023;10/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;31
2023;11/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;58
2023;11/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;19
2023;11/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;MASCULINO;22
2023;11/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;FEMININO;15
2023;11/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;MASCULINO;23
2023;11/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;45
2023;11/02/2023;MOTOCICLETA;NAO DISPONIVEL;OUTROS;MASCULINO;24
2023;11/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;25
2023;11/02/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;FEMININO;34
2023;11/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;18
2023;11/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;FEMININO;23
2023;11/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;10/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;NAO DISPONIVEL;NAO DISPONIVEL
2023;10/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;23
2023;08/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;65
2023;10/02/2023;MOTOCICLETA;PASSAGEIRO;CHOQUE;MASCULINO;19
2023;02/01/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;73
2023;08/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;59
2023;10/02/2023;AUTOMOVEL;CONDUTOR;CHOQUE;FEMININO;34
2023;10/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;43
2023;07/02/2023;MOTOCICLETA;PASSAGEIRO;COLISAO;MASCULINO;35
2023;07/02/2023;BICICLETA;CONDUTOR;COLISAO;FEMININO;29
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;70
2023;09/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;49
2023;09/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;25
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;54
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;47
2023;08/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;20
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;06/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;44
2023;08/02/2023;MOTOCICLETA;CONDUTOR;OUTROS;MASCULINO;56
2023;09/02/2023;AUTOMOVEL;CONDUTOR;COLISAO;MASCULINO;71
2023;09/02/2023;AUTOMOVEL;PASSAGEIRO;COLISAO;MASCULINO;55
2023;09/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;67
2023;04/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;46
2023;29/01/2023;AUTOMOVEL;PASSAGEIRO;OUTROS;MASCULINO;21
2023;05/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;45
2023;20/01/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;46
2023;07/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;58
2023;08/02/2023;PEDESTRE;PEDESTRE;CHOQUE;FEMININO;46
2023;08/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;50
2023;08/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;39
2023;08/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;FEMININO;55
2023;08/02/2023;MOTOCICLETA;CONDUTOR;COLISAO;MASCULINO;52
2023;08/02/2023;BICICLETA;CONDUTOR;COLISAO;MASCULINO;42
2023;08/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;47
2023;08/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;56
2023;08/02/2023;AUTOMOVEL;PASSAGEIRO;CHOQUE;MASCULINO;30
2023;07/02/2023;NAO DISPONIVEL;NAO DISPONIVEL;ATROPELAMENTO;MASCULINO;NAO DISPONIVEL
2023;08/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;43
2023;07/02/2023;PEDESTRE;PEDESTRE;ATROPELAMENTO;MASCULINO;71
2023;07/02/2023;MOTOCICLETA;CONDUTOR;CHOQUE;MASCULINO;23
